epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5032.46,0.5189,0.3711,0.9954,0.99624,0.99957,0.995,0.9304,0.30029,0.17847,0.71448,0.0004258,0.0004258,0.0004258
60,5122.48,0.50135,0.37471,0.9899,0.99676,0.99975,0.995,0.92786,0.30438,0.18454,0.71832,0.0004159,0.0004159,0.0004159
61,5213.21,0.50494,0.37418,0.99082,0.99544,0.99617,0.995,0.9337,0.29459,0.17941,0.70964,0.000406,0.000406,0.000406
62,5293.22,0.4977,0.36372,0.98371,0.99474,0.99975,0.995,0.93431,0.29064,0.17898,0.70852,0.0003961,0.0003961,0.0003961
63,5377.48,0.49649,0.36324,0.98792,0.99663,0.9977,0.995,0.93368,0.29431,0.34576,0.71083,0.0003862,0.0003862,0.0003862
64,5467.78,0.48621,0.35879,0.98769,0.99643,0.99937,0.995,0.92976,0.30654,0.26015,0.71764,0.0003763,0.0003763,0.0003763
65,5557.62,0.49276,0.36595,0.98558,0.99564,0.99925,0.995,0.93035,0.2948,0.18838,0.71217,0.0003664,0.0003664,0.0003664
66,5647.36,0.48988,0.35901,0.98641,0.99614,0.99733,0.995,0.93703,0.28942,0.20888,0.70865,0.0003565,0.0003565,0.0003565
67,5735.94,0.47899,0.35022,0.97948,0.99668,0.99821,0.995,0.93497,0.29558,0.17744,0.71514,0.0003466,0.0003466,0.0003466
68,5825.09,0.47909,0.34552,0.97783,0.99579,0.99831,0.995,0.9393,0.284,0.17326,0.70377,0.0003367,0.0003367,0.0003367
69,5915.15,0.48506,0.35097,0.98509,0.99678,0.99916,0.995,0.92993,0.29559,0.17155,0.71424,0.0003268,0.0003268,0.0003268
70,6005.14,0.48941,0.35292,0.98362,0.99625,0.99885,0.995,0.93761,0.28386,0.18307,0.70748,0.0003169,0.0003169,0.0003169
71,6093.51,0.47922,0.35086,0.98188,0.99524,0.99865,0.995,0.93212,0.29022,0.17445,0.71135,0.000307,0.000307,0.000307
72,6181.85,0.47342,0.34007,0.97932,0.9987,0.99832,0.995,0.93592,0.28178,0.16288,0.7058,0.0002971,0.0002971,0.0002971
73,6272.83,0.47861,0.34001,0.98355,0.9966,1,0.995,0.93946,0.28283,0.21073,0.70626,0.0002872,0.0002872,0.0002872
74,6363.36,0.46553,0.32777,0.97625,0.99714,0.99733,0.995,0.93829,0.28011,0.15504,0.69941,0.0002773,0.0002773,0.0002773
75,6454.5,0.46857,0.33291,0.97459,0.99619,0.99733,0.995,0.9403,0.27956,0.15689,0.70066,0.0002674,0.0002674,0.0002674
76,6545.62,0.46708,0.33381,0.97863,0.99648,0.99694,0.995,0.94076,0.27647,0.15981,0.70098,0.0002575,0.0002575,0.0002575
